id,name,type_code,is_intervention,is_international
809,Saur Revolution of 1978,4,,False
810,Zaire-FNLC War of 1978,4,,True
811,Third Guatemala War of 1978-1983,4,,False
812,Mujahideen Uprising of 1978-1980,4,,True
815,Sandinista Rebellion of 1978-1979,4,,False
815.5,Iranian Islamic Revolution of 1978-1979,4,,False
816,Anti-Khomeini Coalition War of 1979-1983,4,,False
817,El Salvador War of 1979-1992,4,,False
820,Chad - FAN War of 1980-1984,5,,True
823,Nigeria - Muslim War of 1980-1981,5,,False
824,First Philippines - NPA War of 1981-1992,4,,False
825,Mozambique War of 1981-1992,4,,True
826,Tigrean & Eritrean War of 1982-1991,5,,False
826.5,Hama Uprising of 1982,4,,False
828,Contra War of 1982-1988,4,,False
828.3,Uganda-NRA War of 1982-1986,4,,False
829,Shining Path War of 1982-1992,4,,False
833,Fourth Lebanese War of 1983-1984,4,,True
834,Second South Sudan War of 1983-2002,4,,True
835,First Sri Lanka Tamil War of 1983-1987,5,,False
837,Indian Golden Temple War of 1984,5,,False
838, First Turkish Kurds War of 1984-1986,5,,False
840,Fifth Iraqi  Kurds War of 1985-1988,5,,True
842,South Yemen War of 1986,4,,False
843,Holy Spirit Movement War of 1986-1987,4,,False
845,Second Sri Lanka-JVP War of 1987-1989,4,,False
845.5,Fourth Guatemala of 1987 to 1990,4,,False
846,Inkatha-ANC War of 1987-1994,7,,False
848,First Somalia War of 1988-1991,4,,False
849,FARC/ELN War of 1988-present,4,,False
850,Fifth Lebanese War of 1989-1990,4,,True
851,Second Afghan Civil War of 1989-1992,4,,False
852,Chad - Deby War of 1989-1990,4,,False
853,Punjab Rebellion of 1989-1993,5,,False
854,Second Khmer Rouge War of 1989-1991,4,,False
856,Romanian War of 1989,4,,False
857,First Liberian War of 1989-1990,4,,True
858,First Aceh War of 1990-1991,5,,False
859,Second Sri Lanka Tamil War of 1990-2001,5,,False
860,Bougainville Secessionist War of 1990-1991,5,,False
862,Iraqi Shiite Rebellion of 1991,4,,False
862.1,Sixth Iraqi Kurds War of 1991,5,,False
863,First Sierra Leone War of 1991-1996,4,,True
864,Croatian Independence War of 1991-1992,5,,False
865,Turkey-PKK War of 1991-1999,5,,False
865.8,Second Somalia War of 1991-1997,4,,True
866,SPLM/A Division (Dinka-Nuer) War of 1991-1992,7,,False
868,Jukun - Tiv War of 1991-1992,7,,False
871,Georgia War of 1991-1993,4,,False
872,Nagorno-Karabakh War of 1991-1993,5,,True
873,Dniestrian Independence War of 1991-1992,5,,True
874,Kashmir Insurgency of 1992-2005,5,,False
874.5,First Somaliland War of 1992,7,,False
875,Algeria's Islamic Front War of 1992-2002,4,,False
876,Tajikistan War of 1992-1997,4,,True
877,Bosnian-Serb Rebellion of 1992-1995,5,,True
877.5,Afghanistan Post-Communist War of 1992-2001,4,,False
878,Abkhazia Revolt of 1992-1994,5,,True
879,Second Liberian War of 1992-1996,4,,True
880,Angolan War of the Cities of 1992-1994,4,,False
881,Third Khmer Rouge War of 1993-1998,4,,False
882,Masisi War of 1993,7,,False
883,Second Burundi War of 1993-1998,4,,False
885,South Yemeni Secessionist Revolt of 1994,5,,False
886,Second Rwanda War of 1994,4,,False
887,First Iraqi Kurds Internecine War of 1994-1995,7,,False
887.5,Second Somaliland War of 1994 to 1995,7,,False
888,First Chechnya War of 1994-1996,5,,False
891,Croatia-Krajina War of 1995,5,,False
893,Seventh Iraqi Kurds War of 1996,5,,False
895,Zaire - AFDL War of 1996-1997,4,,True
896,Third Rwanda War of 1997-1998,4,,False
897,First Congo-Brazzaville War of 1997,4,,True
897.5,Second Iraqi Kurds Internecine War of 1997,7,,False
898,Second Sierra Leone War of 1998-2000,4,,True
900,Kosovo Independence War of 1998-1999,5,,False
902,Guinea-Bissau Military War of 1998-1999,4,,True
905,Africa's World War of 1998-2002,4,,True
906,Chad-Togoimi Revolt of 1998-2000,4,,False
907,Third Angolan War of 1998-2002,4,,True
908,Second Congo-Brazzaville War of 1998-1999,4,,True
910,Maluku War of 1999-2002,7,,False
912,Second Aceh War of 1999-2004,5,,False
913,Oromo Liberation War of 1999,5,,False
915,Second Chechen War of 1999-2003,5,,False
916,Second Philippine-Moro War of 2000-2001,5,,False
917,Guinean War of 2000-2001,4,,False
918,Third Burundi War of 2001-2003,4,,True
920,Fourth Rwanda War of 2001,4,,False
921,Nepal Maoist Insurgency of 2001-2006,4,,False
922,Liberia-LURD War of 2002-2003,4,,False
925,Cote d'Ivoire Military War of 2002-2003,4,,True
926,Third Philippine-Moro War of 2003,5,,False
927,Darfur Rebellion of 2003-2006,5,,False
932,First Waziristan War of 2004-2006,5,,True
933,Second Nigeria Christian - Muslim War of 2004,7,,False
935,First Al-Houthi Rebellion of 2004-2005,4,,False
936,Second Philippine - NPA War of 2005-2006,4,,False
937,Chad-United Opposition War of 2005-2008,4,,True
940,Third Sri Lanka Tamil War of 2006-2009,5,,False
940.8,Third Somalia War of 2006-2012,4,,True
941,Second Al-Houthi Rebellion of 2007-2008,4,,False
942,Second Waziristan War of 2007-present,5,,True
971,Iraqi Sunni Revolt of 2010-2014,4,,True
973,Second Cote d'Ivoire War of 2011,4,,True
976,Libyan Civil War of 2011,4,,True
978,Sudan Revolutionary Front Rebellion of 2011-present,4,,False
979,Syrian Arab Spring War of 2011 to present,4,,True
980,Kachin Rebellion of 2011-2013,5,,False
985,North Mali War of 2012-2013,5,,True
990,Central African Republic War of 2012-2013,4,,True
990.4,Boko Haram in Nigeria of 2013 - present,4,,True
991,South Sudan War of 2013 to present,4,,True
991.4,Afghan-Taliban War of 2014-ongoing,4,,True
991.5,ISIS-al Nusra Front War of 2014,7,,False
992,Third Al-Houthi Rebellion of 2014-present,4,,False
992.5,Somali-Al-Shabaab war of 2014-present,4,,True
993,Donbas War of 2014-present,5,,True
994,Second Libyan Civil War of 2014-present,4,,False
997,Rada'a War of 2014-present,7,,False
300,Allied Bombardment of Algiers,3,True,
301,Ottoman-Wahhabi,3,False,
302,Liberation of Chile,2,False,
303,First Bolivar Expedition,2,False,
304,Mexican Independence,2,False,
305,British-Kandyan,2,False,
306,British-Maratha,2,False,
307,Ottoman Conquest of Sudan,3,False,
308,Second Bolivar Expedition,2,False,
309,Turco-Persian,3,False,
310,First British-Burmese,3,False,
311,First British-Ashanti,3,False,
312,Liberation of Peru,2,False,
313,Dutch - Javanese,2,False,
314,British-Bharatpuran,2,False,
315,Brazil-Argentine,3,False,
316,Russo-Persian,3,False,
317,Spanish Reconquest of Mexico,3,False,
319,French Occupation of Algiers,3,False,
